Word	Category
aveiro	BIOS
radioeléctricas	TECNO-MATERIALIDADES
concha	ECO-MATERIALIDADES
ecossistema	ECO-MATERIALIDADES
cladóceros	BIOS
embarcação	TECNO-MATERIALIDADES
camâra	TECNO-MATERIALIDADES
usar	TECNO-MATERIALIDADES
microrganismos	BIOS
spartina	BIOS
coina	TECNO-MATERIALIDADES
nutracêutica	TECNO-MATERIALIDADES
açor	ECO-MATERIALIDADES
extintas	MATERIAL AFTERLIVES
atingida	MATERIAL AFTERLIVES
animais	BIOS
birds	BIOS
areia	ECO-MATERIALIDADES
ramada	ECO-MATERIALIDADES
restos	MATERIAL AFTERLIVES
lino	ECO-MATERIALIDADES
mexilhão	BIOS
hialino	ECO-MATERIALIDADES
óvulo	BIOS
jusante	ECO-MATERIALIDADES
instrumento	TECNO-MATERIALIDADES
cereais	BIOS
deposits	ECO-MATERIALIDADES
maré	ECO-MATERIALIDADES
estua	ECO-MATERIALIDADES
electrónico	TECNO-MATERIALIDADES
marés	ECO-MATERIALIDADES
geológica	ECO-MATERIALIDADES
ribeira	ECO-MATERIALIDADES
rochosa	ECO-MATERIALIDADES
plataformas	TECNO-MATERIALIDADES
sepultura	MATERIAL AFTERLIVES
substância	ECO-MATERIALIDADES
biológicas	BIOS
vaza	ECO-MATERIALIDADES
insectos	BIOS
salin	ECO-MATERIALIDADES
bacteriana	BIOS
praia	ECO-MATERIALIDADES
aparelhos	TECNO-MATERIALIDADES
raios	ECO-MATERIALIDADES
gruas	TECNO-MATERIALIDADES
tainhas	BIOS
quitinoso	BIOS
cnidários	BIOS
calculator	TECNO-MATERIALIDADES
fotossintéticos	BIOS
redes	TECNO-MATERIALIDADES
environmental	ECO-MATERIALIDADES
frutas	BIOS
frutos	BIOS
argilas	ECO-MATERIALIDADES
sepiola	BIOS
sédimentaires	ECO-MATERIALIDADES
mare	ECO-MATERIALIDADES
ruir	MATERIAL AFTERLIVES
invernada	ECO-MATERIALIDADES
planctónica	ECO-MATERIALIDADES
alpiarça	ECO-MATERIALIDADES
monumento	MATERIAL AFTERLIVES
sé	ECO-MATERIALIDADES
geographic	ECO-MATERIALIDADES
ribeirinhas	ECO-MATERIALIDADES
zooplâncton	BIOS
leão	BIOS
metalíferos	TECNO-MATERIALIDADES
comboio	TECNO-MATERIALIDADES
polvos	BIOS
embarcações	TECNO-MATERIALIDADES
musealizada	MATERIAL AFTERLIVES
ninhos	BIOS
faca	TECNO-MATERIALIDADES
molhos	BIOS
abandonada	MATERIAL AFTERLIVES
supralitoral	ECO-MATERIALIDADES
sapal	ECO-MATERIALIDADES
salobras	ECO-MATERIALIDADES
inverno	ECO-MATERIALIDADES
salpicos	ECO-MATERIALIDADES
silva	ECO-MATERIALIDADES
lapas	BIOS
persistiram	MATERIAL AFTERLIVES
protozoários	BIOS
reprodutor	TECNO-MATERIALIDADES
vesículas	BIOS
basins	ECO-MATERIALIDADES
filtrador	TECNO-MATERIALIDADES
metais	TECNO-MATERIALIDADES
câmara	TECNO-MATERIALIDADES
ávila	BIOS
bronze	TECNO-MATERIALIDADES
vegetation	BIOS
martelo	TECNO-MATERIALIDADES
radiografia	TECNO-MATERIALIDADES
